PLAYER,POS,AGE,STATUS,2015 TEAM,NEW TEAM,YRS,RK,DOLLARS
Reggie Abercrombie,LF,36,Signed,Astros,Astros,,NR,Minor Lg
Mario Alvarez,SP,33,Signed,Dodgers,Dodgers,,NR,Minor Lg
Tony Armas,SP,39,Signed,Mets,Mets,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Rich Aurilia,1B,46,Signed,Giants,Giants,,NR,Minor Lg
Denny Bautista,SP,37,Signed,Pirates,Pirates,,NR,Minor Lg
Matt Belisle,RP,37,Signed,Reds,Rockies,,NR,Minor Lg
Angel Berroa,SS,40,Signed,Dodgers,Yankees,,NR,Minor Lg
Yhency Brazoban,RP,37,Signed,Dodgers,Dodgers,,NR,Minor Lg
Chris Britton,RP,35,Signed,Yankees,Padres,,NR,Minor Lg
Emil Brown,RF,43,Signed,Athletics,Padres,,85,Minor Lg
Chris Burke,3B,27,Signed,Diamondbacks,Padres,,NR,Minor Lg
Jamie Burke,C,46,Signed,Mariners,Mariners,,NR,Minor Lg
Miguel Cairo,1B,43,Signed,Mariners,Phillies,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Chris Capuano,RP,39,Signed,Brewers,Brewers,,NR,Minor Lg
Sean Casey,1B,43,Retired,Red Sox,--,,77,--
Kevin Cash,C,40,Signed,Red Sox,Yankees,,NR,Minor Lg
Juan Castro,2B,45,Signed,Orioles,Dodgers,,NR,Minor Lg
Justin Christian,RF,37,Signed,Yankees,Orioles,,NR,Minor Lg
Alex Cintron,SS,39,Signed,Orioles,Nationals,,NR,Minor Lg
Elmer Dessens,RP,47,Signed,Braves,Mets,,NR,Minor Lg
Brendan Donnelly,RP,46,Signed,Indians,Rangers,,NR,Minor Lg
Sal Fasano,C,46,Signed,Indians,Rockies,,NR,Minor Lg
Randy Flores,RP,42,Signed,Cardinals,Rockies,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Josh Fogg,RP,41,Signed,Reds,Rockies,,NR,Minor Lg
Casey Fossum,SP,40,Signed,Tigers,Mets,,NR,Minor Lg
Chad Fox,RP,47,Signed,Cubs,Cubs,,NR,Minor Lg
Eric Gagne,RP,42,Signed,Brewers,Brewers,,61,Minor Lg
Freddy Garcia,SP,41,Signed,Tigers,Mets,,NR,Minor Lg
Jonny Gomes,LF,37,Signed,Rays,Reds,,NR,Minor Lg
Chris Gomez,3B,46,Signed,Pirates,Orioles,,NR,Minor Lg
Eddie Guardado,RP,47,Signed,Twins,Rangers,,NR,Minor Lg
Charlie Haeger,SP,34,Signed,Padres,Dodgers,,NR,Minor Lg
Toby Hall,C,42,Signed,White Sox,Astros,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Robby Hammock,C,40,Signed,Diamondbacks,Orioles,,NR,Minor Lg
Clay Hensley,SP,38,Signed,Padres,Astros,,NR,Minor Lg
Matt Herges,RP,47,Signed,Rockies,Indians,,NR,Minor Lg
Livan Hernandez,RP,43,Signed,Rockies,Mets,,NR,Minor Lg
Jonathan Herrera,2B,33,Signed,Rockies,Rockies,,NR,Minor Lg
Jason Isringhausen,RP,45,Signed,Cardinals,Rays,,NR,Minor Lg
Jason Jennings,RP,39,Signed,Rangers,Rangers,,NR,Minor Lg
Jason Johnson,SP,44,Signed,Dodgers,Yankees,,69,Minor Lg
Tyler Johnson,RP,36,Signed,Cardinals,Mariners,,NR,Minor Lg
Jacque Jones,LF,42,Signed,Marlins,Reds,,100,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Todd Jones,RP,49,Retired,Tigers,--,,NR,--
Jeff Kent,2B,49,Retired,Dodgers,--,,NR,--
Wil Ledezma,RP,37,Signed,Diamondbacks,Nationals,,NR,Minor Lg
Greg Maddux,SP,51,Retired,Dodgers,--,,58,--
Gary Majewski,RP,38,Signed,Reds,Phillies,,NR,Minor Lg
Ramon Martinez,SS,45,Signed,Mets,Mets,,NR,Minor Lg
Scott Mathieson,RP,34,Signed,Phillies,Phillies,,NR,Minor Lg
Doug Mathis,SP,34,Signed,Rangers,Rangers,,NR,Minor Lg
Adam Melhuse,C,45,Signed,Rockies,Rangers,,NR,Minor Lg
Kent Mercker,RP,50,Retired,Reds,--,,NR,--
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Doug Mientkiewicz,1B,43,Signed,Pirates,Dodgers,,NR,Minor Lg
Kevin Millar,1B,46,Signed,Orioles,Blue Jays,,NR,Minor Lg
Chad Moeller,C,43,Signed,Yankees,Orioles,,NR,Minor Lg
Mike Mussina,SP,49,Retired,Yankees,--,,29,--
Trot Nixon,RF,43,Signed,Mets,Brewers,,NR,Minor Lg
Will Ohman,RP,40,Signed,Braves,Dodgers,,51,Minor Lg
John Parrish,RP,40,Signed,Blue Jays,Orioles,,NR,Minor Lg
Corey Patterson,LF,38,Signed,Reds,Nationals,,NR,Minor Lg
Odalis Perez,SP,40,Signed,Nationals,Nationals,,NR,Minor Lg
Scott Podsednik,LF,41,Signed,Rockies,Rockies,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Sidney Ponson,SP,41,Signed,Yankees,Royals,,NR,Minor Lg
Mark Prior,SP,37,Signed,Padres,Padres,,NR,Minor Lg
Argenis Reyes,2B,35,Signed,Mets,Mets,,NR,Minor Lg
Juan Rincon,RP,39,Signed,Indians,Tigers,,NR,Minor Lg
Luis Rivas,SS,38,Signed,Pirates,Cubs,,NR,Minor Lg
Glendon Rusch,RP,43,Signed,Rockies,Rockies,,NR,Minor Lg
Jeff Salazar,LF,37,Signed,Diamondbacks,Pirates,,NR,Minor Lg
Curt Schilling,SP,51,Retired,Red Sox,--,,90,--
Jason Smith,2B,40,Signed,Royals,Astros,,NR,Minor Lg
Mike Sweeney,1B,44,Signed,Athletics,Mariners,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2008 TEAM,NEW TEAM,YRS,RK,DOLLARS
Julian Tavarez,RP,44,Signed,Braves,Nationals,,NR,Minor Lg
Juan Uribe,3B,38,Signed,White Sox,Giants,,70,Minor Lg
Javier Valentin,C,42,Signed,Reds,Nationals,,NR,Minor Lg
Ron Villone,RP,48,Signed,Cardinals,Mets,,NR,Minor Lg
Omar Vizquel,2B,50,Signed,Giants,Rangers,,80,Minor Lg
Daryle Ward,1B,42,Signed,Cubs,Reds,,92,Minor Lg
Brad Wilkerson,RF,40,Signed,Blue Jays,Red Sox,,87,Minor Lg
Vance Wilson,C,44,Signed,Tigers,Royals,,NR,Minor Lg
Matt Wise,RP,42,Retired,Mets,--,,NR,--
Jamey Wright,RP,43,Signed,Rangers,Royals,,NR,Minor Lg
