PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
A.J. Achter,RP,29,Signed,Angels,Tigers,,NR,Minor Lg
Matt Albers,RP,35,Signed,White Sox,Nationals,,NR,Minor Lg
Alexi Amarista,SS,28,Signed,Padres,Rockies,1,NR,--
Cody Asche,3B,27,Signed,Phillies,White Sox,,NR,Minor Lg
Erick Aybar,SS,34,Signed,Tigers,Padres,,NR,Minor Lg
Gordon Beckham,3B,31,Signed,Giants,Giants,,NR,Minor Lg
Gregor Blanco,RF,34,Signed,Giants,Diamondbacks,,NR,Minor Lg
Emilio Bonifacio,LF,32,Signed,Braves,Braves,,NR,Minor Lg
Peter Bourjos,CF,30,Signed,Phillies,White Sox,,NR,Minor Lg
Michael Bourn,CF,35,Signed,Orioles,Orioles,,NR,Minor Lg
Blaine Boyer,RP,36,Signed,Brewers,Braves,,NR,Minor Lg
Ryan Brett,SS,26,Signed,Rays,Rays,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
Sean Burnett,RP,35,Signed,Nationals,Phillies,1,NR,Minor Lg
Ramon Cabrera,C,28,Signed,Reds,Marlins,,NR,Minor Lg
Matt Carasiti,RP,26,Signed,Rockies,Rockies,,NR,Minor Lg
Stephen Cardullo,LF,30,Signed,Rockies,Rockies,,NR,Minor Lg
Chris Coghlan,3B,32,Signed,Cubs,Phillies,,NR,Minor Lg
Louis Coleman,RP,31,Signed,Dodgers,Reds,,NR,Minor Lg
Gerardo Concepcion,RP,25,Signed,Cubs,Cubs,,NR,Minor Lg
Alejandro De Aza,RF,33,Signed,Mets,Athletics,,NR,Minor Lg
Jorge De La Rosa,RP,36,Signed,Rockies,Diamondbacks,,38,Minor Lg
Rubby De La Rosa,RP,28,Signed,Diamondbacks,Diamondbacks,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
Jaff Decker,LF,28,Signed,Rays,Athletics,,NR,Minor Lg
Matt den Dekker,CF,30,Signed,Nationals,Marlins,,NR,Minor Lg
Ross Detwiler,SP,31,Signed,Athletics,Athletics,,NR,Minor Lg
Felix Doubront,SP,30,Signed,Athletics,Athletics,,NR,Minor Lg
Jon Edwards,RP,30,Signed,Padres,Padres,,NR,Minor Lg
Gavin Floyd,RP,35,Signed,Blue Jays,Blue Jays,,NR,Minor Lg
Eric Fryer,C,32,Signed,Pirates,Cardinals,,NR,Minor Lg
Ryan Hanigan,C,37,Signed,Red Sox,Phillies,,NR,Minor Lg
Lucas Harrell,RP,32,Signed,Braves,Blue Jays,,NR,Minor Lg
David Hernandez,RP,32,Signed,Phillies,Giants,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
Aaron Hill,2B,35,Signed,Red Sox,Giants,,50,Minor Lg
Bryan Holaday,C,30,Signed,Red Sox,Phillies,,NR,Minor Lg
Jared Hoying,CF,28,Signed,Rangers,Rangers,,NR,Minor Lg
Tommy Hunter,RP,31,Signed,Orioles,Rays,,NR,Minor Lg
Austin Jackson,CF,31,Signed,White Sox,Indians,,NR,Minor Lg
Erik Johnson,SP,28,Signed,Padres,Padres,,NR,Minor Lg
Munenori Kawasaki,SS,36,Signed,Cubs,Cubs,,NR,Minor Lg
Yorman Landa,RP,22,Signed,Twins,Twins,,NR,Minor Lg
Mat Latos,SP,30,Signed,Nationals,Blue Jays,,NR,Minor Lg
Jacob Lindgren,RP,24,Signed,Yankees,Braves,,NR,--
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
James Loney,1B,33,Signed,Mets,Rangers,,NR,Minor Lg
Javier Lopez,RP,40,Retired,Giants,--,,NR,--
Seth Maness,RP,29,Signed,Cardinals,Royals,,NR,Minor Lg
Jeff Manship,RP,33,Signed,Indians,--,,NR,--
Kris Medlen,SP,32,Signed,Royals,Braves,,NR,Minor Lg
Brandon Morrow,RP,33,Signed,Padres,Dodgers,,NR,Minor Lg
Peter Moylan,RP,39,Signed,Royals,Royals,,NR,Minor Lg
Chris Narveson,RP,36,Signed,Marlins,Indians,,NR,Minor Lg
Joe Nathan,RP,43,Signed,Giants,Nationals,,NR,Minor Lg
Jonathon Niese,SP,31,Signed,Mets,Yankees,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
Eric O'Flaherty,RP,33,Signed,Braves,Braves,,NR,Minor Lg
Sean O'Sullivan,SP,30,Signed,Red Sox,--,,NR,--
Gregorio Petit,2B,33,Signed,Angels,Blue Jays,,NR,Minor Lg
Yusmeiro Petit,RP,33,Signed,Nationals,Angels,,NR,Minor Lg
Jose Pirela,LF,28,Signed,Padres,Padres,,NR,Minor Lg
Ryan Raburn,LF,36,Signed,Rockies,Reds,,NR,Minor Lg
Mark Reynolds,1B,34,Signed,Rockies,Rockies,,NR,Minor Lg
David Ross,C,40,Retired,Cubs,--,,NR,--
Zac Rosscup,RP,29,Signed,Cubs,Cubs,,NR,Minor Lg
Jarrod Saltalamacchia,C,32,Signed,Tigers,Blue Jays,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2016 TEAM,NEW TEAM,YRS,RK,DOLLARS
