PLAYER,POS,AGE,STATUS,2015 TEAM,NEW TEAM,YRS,RK,DOLLARS
Josh Bard,C,39,Signed,Mariners,Mariners,,NR,Minor Lg
Miguel Batista,SP,47,Signed,Nationals,Cardinals,,NR,Minor Lg
Erik Bedard,SP,38,Signed,Mariners,Mariners,1,NR,--
Joe Beimel,RP,40,Signed,Rockies,Pirates,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2010 TEAM,NEW TEAM,YRS,RK,DOLLARS
Kris Benson,SP,43,Retired,Diamondbacks,--,,NR,--
Blaine Boyer,RP,36,Signed,Diamondbacks,Mets,,NR,Minor Lg
Travis Buck,LF,34,Signed,Athletics,Indians,,NR,Minor Lg
Dave Bush,RP,38,Signed,Brewers,Rangers,,NR,Minor Lg
Orlando Cabrera,SS,43,Agreed,Reds,Indians,,NR,--
Chris Carter,RF,35,Signed,Mets,Rays,,NR,Minor Lg
Eric Chavez,3B,40,Signed,Athletics,Yankees,,NR,Minor Lg
Bartolo Colon,SP,44,Signed,--,Yankees,,NR,Minor Lg
Manny Delcarmen,RP,36,Signed,Rockies,Mariners,,NR,Minor Lg
Elmer Dessens,RP,47,Signed,Mets,Giants,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2010 TEAM,NEW TEAM,YRS,RK,DOLLARS
Argenis Diaz,SS,31,Signed,Pirates,Tigers,,NR,Minor Lg
Jim Edmonds,CF,47,Signed,Reds,Cardinals,,NR,Minor Lg
Pedro Feliz,3B,42,Signed,Cardinals,Royals,,NR,Minor Lg
Josh Fields,3B,35,Signed,Royals,Pirates,,NR,Minor Lg
Kevin Frandsen,2B,35,Signed,Angels,Padres,,NR,Minor Lg
Freddy Garcia,SP,41,Signed,White Sox,Yankees,,NR,Minor Lg
Jason Giambi,DH,47,Signed,Rockies,Rockies,,NR,Minor Lg
Scott Hairston,LF,37,Signed,Padres,Mets,,NR,Minor Lg
Willie Harris,LF,39,Signed,Nationals,Mets,,NR,Minor Lg
Mark Hendrickson,SP,43,Signed,Orioles,Orioles,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2010 TEAM,NEW TEAM,YRS,RK,DOLLARS
Trevor Hoffman,RP,50,Retired,Brewers,--,,NR,--
Reed Johnson,LF,41,Signed,Dodgers,Cubs,,NR,Minor Lg
Gabe Kapler,LF,42,Signed,Rays,Dodgers,,NR,Minor Lg
Adam Kennedy,3B,42,Signed,Nationals,Mariners,,NR,Minor Lg
Casey Kotchman,1B,35,Signed,Mariners,Rays,,NR,Minor Lg
Felipe Lopez,2B,37,Signed,Red Sox,Rays,,NR,Minor Lg
Rodrigo Lopez,SP,42,Signed,Diamondbacks,Braves,,NR,Minor Lg
Ron Mahay,RP,46,Signed,Twins,Dodgers,,NR,Minor Lg
Aaron Miles,2B,41,Signed,Cardinals,Angels,,NR,Minor Lg
Lastings Milledge,LF,32,Signed,Pirates,White Sox,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2010 TEAM,NEW TEAM,YRS,RK,DOLLARS
Andrew Miller,RP,32,Signed,Red Sox,Red Sox,,NR,Minor Lg
Zach Miner,RP,35,Signed,Tigers,Royals,,NR,Minor Lg
Guillermo Mota,RP,44,Signed,Giants,Giants,,NR,Minor Lg
Augie Ojeda,2B,43,Signed,Diamondbacks,Cubs,,NR,Minor Lg
Corey Patterson,LF,38,Signed,Orioles,Blue Jays,,NR,Minor Lg
Jay Payton,LF,45,Signed,Rockies,Rockies,,NR,Minor Lg
Luis Perdomo,RP,33,Signed,Padres,Padres,,NR,Minor Lg
Andy Pettitte,SP,45,Retired,Yankees,--,,9,--
Chris Ray,RP,36,Signed,Giants,Mariners,,NR,Minor Lg
Dennys Reyes,RP,40,Signed,Cardinals,Red Sox,,NR,Minor Lg
PLAYER,POS,AGE,STATUS,2010 TEAM,NEW TEAM,YRS,RK,DOLLARS
Matt Stairs,1B,50,Signed,Padres,Nationals,,NR,Minor Lg
Jeff Suppan,SP,43,Signed,Cardinals,Giants,,NR,Minor Lg
Eugenio Velez,SS,35,Signed,Giants,Dodgers,,NR,Minor Lg
Jose Veras,RP,37,Signed,Tigers,Pirates,,NR,Minor Lg
Chien-Ming Wang,RP,37,Signed,Nationals,Nationals,1,NR,--
Randy Winn,LF,43,Signed,Cardinals,Orioles,,NR,Minor Lg
Jamey Wright,RP,43,Signed,Rockies,Mariners,,NR,Minor Lg
Delwyn Young,2B,35,Signed,Pirates,Phillies,,NR,Minor Lg
Gregg Zaun,C,46,Signed,Brewers,Padres,,NR,Minor Lg
